[2024-04-19 12:28:51.697880] [0x0000007fab19c010] [info] [0x000150da] [1] Initial timestamp, Current time, User-defined position x, User-defined position y, User-defined position z, User-defined velocity x, User-defined velocity y, User-defined velocity z, User-defined acceleration x, User-defined acceleration y, User-defined acceleration z, User-defined yaw, User-defined yaw_dot, User-defined yaw_dot_dot
[2024-04-19 12:28:51.720554] [0x0000007fa4a749a0] [info] [0x000150da] [2] 1713544131697163, 0.021801, 4.79538e-07, 3.57844e-08, -1.28466e-07, 8.75661e-05, 6.52616e-06, -2.34517e-05, 0.0119541, 0.000889028, -0.00319995, 0, 0, 0
[2024-04-19 12:28:51.729421] [0x0000007fa4a749a0] [info] [0x000150da] [3] 1713544131697163, 0.031395, 2.04513e-06, 1.52274e-07, -5.47598e-07, 0.000258779, 1.92324e-05, -6.92607e-05, 0.0244445, 0.00181105, -0.00653776, 0, 0, 0
[2024-04-19 12:28:51.739112] [0x0000007fa4a749a0] [info] [0x000150da] [4] 1713544131697163, 0.041388, 6.12319e-06, 4.54847e-07, -1.63865e-06, 0.00058642, 4.34538e-05, -0.000156846, 0.0418622, 0.00308904, -0.0111859, 0, 0, 0
[2024-04-19 12:28:51.750326] [0x0000007f97ffe9a0] [info] [0x000150da] [5] 1713544131697163, 0.051762, 1.48448e-05, 1.10001e-06, -3.97043e-06, 0.00113413, 8.37775e-05, -0.000303121, 0.0644816, 0.00473788, -0.0172132, 0.0737357, -0.0222278, -0.0244038
[2024-04-19 12:28:51.760334] [0x0000007f97ffe9a0] [info] [0x000150da] [6] 1713544131697163, 0.061949, 3.01842e-05, 2.23122e-06, -8.06867e-06, 0.00192243, 0.000141569, -0.000513448, 0.0909731, 0.00665587, -0.0242615, 0.073508, -0.0224781, -0.0247195
[2024-04-19 12:28:51.770009] [0x0000007f97ffe9a0] [info] [0x000150da] [7] 1713544131697163, 0.071597, 5.33991e-05, 3.93806e-06, -1.42667e-05, 0.00293627, 0.000215585, -0.000783696, 0.11978, 0.00872738, -0.0319141, 0.0732899, -0.022718, -0.0250222
[2024-04-19 12:28:51.779562] [0x0000007fa4a749a0] [info] [0x000150da] [8] 1713544131697163, 0.081495, 8.88562e-05, 6.53709e-06, -2.37268e-05, 0.00428288, 0.000313481, -0.0011423, 0.152904, 0.0110928, -0.0406998, 0.0730639, -0.0229672, -0.0253365
[2024-04-19 12:28:51.789424] [0x0000007fab19c010] [info] [0x000150da] [9] 1713544131697163, 0.0914, 0.000139363, 1.02278e-05, -3.71926e-05, 0.00597581, 0.00043602, -0.00159269, 0.189486, 0.0136862, -0.0503871, 0.0728351, -0.0232198, -0.0256549
[2024-04-19 12:28:51.800042] [0x0000007fab19c010] [info] [0x000150da] [10] 1713544131697163, 0.101722, 0.000211863, 1.55085e-05, -5.65078e-05, 0.00814334, 0.000592199, -0.00216876, 0.231069, 0.0166115, -0.0613796, 0.0725941, -0.0234863, -0.0259908
[2024-04-19 12:28:51.809301] [0x0000007fab19c010] [info] [0x000150da] [11] 1713544131697163, 0.111416, 0.00030231, 2.20751e-05, -8.05869e-05, 0.010585, 0.000767327, -0.00281701, 0.27316, 0.0195492, -0.0724871, 0.0723652, -0.0237398, -0.0263101
[2024-04-19 12:28:51.819460] [0x0000007fa4a749a0] [info] [0x000150da] [12] 1713544131697163, 0.121531, 0.000424138, 3.08912e-05, -0.000112997, 0.0135826, 0.000981332, -0.00361204, 0.320035, 0.0227944, -0.0848353, 0.0721237, -0.0240076, -0.0266473
[2024-04-19 12:28:51.829496] [0x0000007f97ffe9a0] [info] [0x000150da] [13] 1713544131697163, 0.131479, 0.000575889, 4.18361e-05, -0.000153336, 0.0170072, 0.00122465, -0.00451934, 0.368909, 0.0261493, -0.097686, 0.0718835, -0.0242744, -0.0269829
[2024-04-19 12:28:51.840852] [0x0000007f97ffe9a0] [info] [0x000150da] [14] 1713544131697163, 0.142363, 0.000783946, 5.6789e-05, -0.000208599, 0.0213268, 0.00152999, -0.00566245, 0.425332, 0.0299868, -0.112492, 0.0716177, -0.0245701, -0.0273547
[2024-04-19 12:28:51.849775] [0x0000007fa4a749a0] [info] [0x000150da] [15] 1713544131697163, 0.151386, 0.000994349, 7.18593e-05, -0.000264443, 0.025384, 0.00181538, -0.00673495, 0.474295, 0.0332867, -0.125315, 0.0713949, -0.0248183, -0.0276666
[2024-04-19 12:28:51.859272] [0x0000007fa52759a0] [info] [0x000150da] [16] 1713544131697163, 0.161409, 0.00127354, 9.17896e-05, -0.000338487, 0.0304195, 0.00216785, -0.00806462, 0.530855, 0.0370641, -0.140099, 0.0711448, -0.0250974, -0.0280169
[2024-04-19 12:28:51.870970] [0x0000007fa52759a0] [info] [0x000150da] [17] 1713544131697163, 0.172179, 0.00163315, 0.000117367, -0.000433784, 0.0364747, 0.0025894, -0.00966165, 0.593999, 0.0412379, -0.156567, 0.0708728, -0.0254011, -0.028398
[2024-04-19 12:28:51.879997] [0x0000007fa52759a0] [info] [0x000150da] [18] 1713544131697163, 0.181706, 0.00200847, 0.000143965, -0.000533162, 0.0424075, 0.00300021, -0.0112245, 0.651751, 0.0450153, -0.171596, 0.0706295, -0.0256733, -0.028739
[2024-04-19 12:28:51.890192] [0x0000007fa52759a0] [info] [0x000150da] [19] 1713544131697163, 0.191914, 0.00247642, 0.000177007, -0.000656967, 0.0493841, 0.00348071, -0.0130602, 0.715449, 0.0491377, -0.188136, 0.070366, -0.0259686, -0.0291086
[2024-04-19 12:28:51.899641] [0x0000007fab19c010] [info] [0x000150da] [20] 1713544131697163, 0.201603, 0.00298945, 0.0002131, -0.000792589, 0.0566156, 0.003976, -0.0149607, 0.777511, 0.0531095, -0.204213, 0.070113, -0.0262523, -0.0294634
[2024-04-19 12:28:51.909232] [0x0000007f97ffe9a0] [info] [0x000150da] [21] 1713544131697163, 0.211438, 0.0035849, 0.000254838, -0.000949871, 0.0645782, 0.00451836, -0.0170508, 0.841968, 0.0571876, -0.220871, 0.0698534, -0.0265439, -0.0298275
[2024-04-19 12:28:51.919302] [0x0000007f97ffe9a0] [info] [0x000150da] [22] 1713544131697163, 0.22141, 0.00427184, 0.000302808, -0.00113117, 0.0733059, 0.0051094, -0.0193388, 0.908689, 0.061358, -0.238071, 0.0695872, -0.0268432, -0.0302009
[2024-04-19 12:28:51.930288] [0x0000007fab19c010] [info] [0x000150da] [23] 1713544131697163, 0.231775, 0.00508173, 0.000359141, -0.00134473, 0.0830896, 0.00576795, -0.0219003, 0.979352, 0.0657177, -0.256239, 0.0693073, -0.0271582, -0.0305933
[2024-04-19 12:28:51.940067] [0x0000007f97ffe9a0] [info] [0x000150da] [24] 1713544131697163, 0.241948, 0.00597888, 0.000421293, -0.00158109, 0.0934103, 0.00645832, -0.0245988, 1.04987, 0.0700088, -0.27432, 0.0690294, -0.0274714, -0.0309828
[2024-04-19 12:28:51.949476] [0x0000007f97ffe9a0] [info] [0x000150da] [25] 1713544131697163, 0.251514, 0.0069215, 0.000486338, -0.00182921, 0.103774, 0.00714733, -0.0273051, 1.11711, 0.0740439, -0.291512, 0.0687652, -0.0277696, -0.031353
[2024-04-19 12:28:51.959934] [0x0000007f97ffe9a0] [info] [0x000150da] [26] 1713544131697163, 0.26178, 0.008047, 0.00056369, -0.00212521, 0.115617, 0.00792965, -0.0303931, 1.19014, 0.078363, -0.310131, 0.0684785, -0.0280935, -0.0317546
[2024-04-19 12:28:51.969312] [0x0000007fa52759a0] [info] [0x000150da] [27] 1713544131697163, 0.27145, 0.00922173, 0.000644097, -0.00243389, 0.127461, 0.00870701, -0.0334775, 1.25964, 0.0824105, -0.327799, 0.0682053, -0.0284024, -0.0321368
[2024-04-19 12:28:51.980106] [0x0000007f97ffe9a0] [info] [0x000150da] [28] 1713544131697163, 0.281756, 0.0106036, 0.000738284, -0.00279665, 0.140827, 0.00957842, -0.0369532, 1.33435, 0.0866912, -0.346731, 0.0679109, -0.0287357, -0.0325485
[2024-04-19 12:28:51.990129] [0x0000007fab19c010] [info] [0x000150da] [29] 1713544131697163, 0.291751, 0.012079, 0.000838419, -0.00318363, 0.154528, 0.0104655, -0.0405109, 1.40733, 0.0908, -0.365161, 0.0676221, -0.0290631, -0.032952
[2024-04-19 12:28:52.000327] [0x0000007f97ffe9a0] [info] [0x000150da] [30] 1713544131697163, 0.301588, 0.0136683, 0.000945826, -0.00360009, 0.168727, 0.0113784, -0.0441923, 1.47953, 0.0947932, -0.383335, 0.0673346, -0.0293892, -0.0333532
[2024-04-19 12:28:52.009160] [0x0000007fa4a749a0] [info] [0x000150da] [31] 1713544131697163, 0.311338, 0.0153849, 0.00106133, -0.00404947, 0.183502, 0.0123217, -0.0480177, 1.55138, 0.0986927, -0.401356, 0.0670464, -0.0297163, -0.0337547
[2024-04-19 12:28:52.019689] [0x0000007fa52759a0] [info] [0x000150da] [32] 1713544131697163, 0.321366, 0.0173043, 0.00118992, -0.00455149, 0.199431, 0.0133312, -0.0521354, 1.62545, 0.102634, -0.41987, 0.0667467, -0.0300569, -0.0341718
[2024-04-19 12:28:52.030048] [0x0000007fa52759a0] [info] [0x000150da] [33] 1713544131697163, 0.331736, 0.0194612, 0.00133376, -0.00511505, 0.216685, 0.0144163, -0.0565885, 1.70215, 0.106626, -0.438963, 0.0664332, -0.0304135, -0.0346074
[2024-04-19 12:28:52.039269] [0x0000007fa4a749a0] [info] [0x000150da] [34] 1713544131697163, 0.341418, 0.02164, 0.00147839, -0.00568379, 0.233511, 0.0154663, -0.0609245, 1.77374, 0.110269, -0.456714, 0.0661371, -0.0307506, -0.0350181
[2024-04-19 12:28:52.049944] [0x0000007fa4a749a0] [info] [0x000150da] [35] 1713544131697163, 0.351824, 0.0241673, 0.00164537, -0.00634284, 0.252369, 0.0166337, -0.0657759, 1.85058, 0.114085, -0.475686, 0.0658152, -0.0311173, -0.0354636
[2024-04-19 12:28:52.059225] [0x0000007fab19c010] [info] [0x000150da] [36] 1713544131697163, 0.361387, 0.0266664, 0.00180971, -0.00699387, 0.270403, 0.0177411, -0.0704078, 1.921, 0.117493, -0.492998, 0.065516, -0.0314584, -0.0358769
[2024-04-19 12:28:52.069794] [0x0000007fa4a749a0] [info] [0x000150da] [37] 1713544131697163, 0.371415, 0.0294759, 0.00199358, -0.00772501, 0.290036, 0.0189368, -0.0754419, 1.99457, 0.120959, -0.511002, 0.0651987, -0.0318204, -0.0363142
[2024-04-19 12:28:52.080052] [0x0000007fa4a749a0] [info] [0x000150da] [38] 1713544131697163, 0.381715, 0.0325704, 0.00219511, -0.00852949, 0.310967, 0.0202005, -0.0807997, 2.06974, 0.124396, -0.52931, 0.064869, -0.0321968, -0.0367674
[2024-04-19 12:28:52.089291] [0x0000007fab19c010] [info] [0x000150da] [39] 1713544131697163, 0.391447, 0.0356958, 0.00239764, -0.00934117, 0.331454, 0.0214264, -0.0860344, 2.14033, 0.127523, -0.546416, 0.064554, -0.0325567, -0.0371994
[2024-04-19 12:28:52.099722] [0x0000007fab19c010] [info] [0x000150da] [40] 1713544131697163, 0.401569, 0.0391617, 0.00262111, -0.0102403, 0.353488, 0.0227331, -0.0916543, 2.21322, 0.130644, -0.563985, 0.0642225, -0.0329355, -0.0376525
[2024-04-19 12:28:52.109364] [0x0000007fa52759a0] [info] [0x000150da] [41] 1713544131697163, 0.41144, 0.0427599, 0.00285192, -0.0111728, 0.375683, 0.0240372, -0.097305, 2.2837, 0.133552, -0.580882, 0.0638956, -0.0333094, -0.0380981
[2024-04-19 12:28:52.122820] [0x0000007fa4a749a0] [info] [0x000150da] [42] 1713544131697163, 0.423394, 0.047416, 0.00314888, -0.0123779, 0.403488, 0.0256538, -0.10437, 2.36817, 0.136889, -0.601002, 0.0634946, -0.033768, -0.0386426
[2024-04-19 12:28:52.129285] [0x0000007fa4a749a0] [info] [0x000150da] [43] 1713544131697163, 0.431421, 0.0507317, 0.00335924, -0.0132352, 0.422723, 0.0267612, -0.109247, 2.42429, 0.13901, -0.614288, 0.0632223, -0.0340797, -0.039011
[2024-04-19 12:28:52.139235] [0x0000007fab19c010] [info] [0x000150da] [44] 1713544131697163, 0.441426, 0.0550836, 0.00363398, -0.0143593, 0.447325, 0.0281647, -0.115475, 2.4935, 0.141515, -0.630577, 0.0628794, -0.0344723, -0.0394735
[2024-04-19 12:28:52.149152] [0x0000007fab19c010] [info] [0x000150da] [45] 1713544131697163, 0.451349, 0.0596463, 0.00392047, -0.0155364, 0.472405, 0.0295806, -0.121811, 2.56128, 0.143844, -0.646421, 0.0625354, -0.0348663, -0.0399356
[2024-04-19 12:28:52.160020] [0x0000007f97ffe9a0] [info] [0x000150da] [46] 1713544131697163, 0.461729, 0.0646891, 0.0042353, -0.0168359, 0.499355, 0.0310856, -0.128605, 2.63119, 0.146108, -0.662645, 0.0621713, -0.0352834, -0.0404225
[2024-04-19 12:28:52.169459] [0x0000007f97ffe9a0] [info] [0x000150da] [47] 1713544131697163, 0.471413, 0.0696492, 0.00454322, -0.0181127, 0.525147, 0.0325101, -0.135094, 2.69544, 0.148058, -0.677444, 0.0618277, -0.035677, -0.04088
[2024-04-19 12:28:52.179796] [0x0000007f97ffe9a0] [info] [0x000150da] [48] 1713544131697163, 0.481667, 0.0751769, 0.0048844, -0.0195338, 0.55313, 0.0340381, -0.14212, 2.7624, 0.149948, -0.692742, 0.0614597, -0.0360987, -0.0413676
[2024-04-19 12:28:52.189279] [0x0000007fa52759a0] [info] [0x000150da] [49] 1713544131697163, 0.491406, 0.0806959, 0.00522303, -0.020951, 0.580339, 0.0355065, -0.148935, 2.82492, 0.151572, -0.706905, 0.0611062, -0.0365038, -0.0418337
[2024-04-19 12:28:52.199827] [0x0000007fa52759a0] [info] [0x000150da] [50] 1713544131697163, 0.501457, 0.0866726, 0.00558759, -0.0224839, 0.609051, 0.0370376, -0.156112, 2.8883, 0.15307, -0.721133, 0.0607372, -0.0369267, -0.0423176
[2024-04-19 12:28:52.209379] [0x0000007fa52759a0] [info] [0x000150da] [51] 1713544131697163, 0.511517, 0.0929469, 0.00596795, -0.0240911, 0.638422, 0.0385843, -0.163437, 2.95052, 0.154385, -0.734965, 0.0603636, -0.0373549, -0.0428049
[2024-04-19 12:28:52.219684] [0x0000007fab19c010] [info] [0x000150da] [52] 1713544131697163, 0.521411, 0.0994088, 0.00635728, -0.0257443, 0.667912, 0.0401174, -0.170774, 3.01048, 0.155496, -0.74816, 0.0599919, -0.0377808, -0.0432868
[2024-04-19 12:28:52.229257] [0x0000007fab19c010] [info] [0x000150da] [53] 1713544131697163, 0.53142, 0.106246, 0.00676662, -0.0274913, 0.698342, 0.0416786, -0.178328, 3.06985, 0.156432, -0.761083, 0.0596115, -0.0382165, -0.0437768
[2024-04-19 12:28:52.241194] [0x0000007f97ffe9a0] [info] [0x000150da] [54] 1713544131697163, 0.541863, 0.113707, 0.00721042, -0.0293953, 0.730718, 0.0433165, -0.186344, 3.13038, 0.157206, -0.7741, 0.05921, -0.0386763, -0.0442906
[2024-04-19 12:28:52.249285] [0x0000007f97ffe9a0] [info] [0x000150da] [55] 1713544131697163, 0.551403, 0.120821, 0.00763082, -0.0312084, 0.76084, 0.0448188, -0.193784, 3.18437, 0.157729, -0.785565, 0.058839, -0.0391011, -0.0447621
[2024-04-19 12:28:52.259089] [0x0000007fa52759a0] [info] [0x000150da] [56] 1713544131697163, 0.561327, 0.12853, 0.00808338, -0.0331704, 0.792715, 0.0463861, -0.201637, 3.23918, 0.158085, -0.797051, 0.0584488, -0.0395478, -0.0452546
[2024-04-19 12:28:52.269323] [0x0000007fab19c010] [info] [0x000150da] [57] 1713544131697163, 0.571425, 0.136701, 0.00855985, -0.0352474, 0.8257, 0.0479834, -0.209743, 3.29351, 0.158248, -0.808269, 0.0580471, -0.0400073, -0.0457576
[2024-04-19 12:28:52.279708] [0x0000007fa52759a0] [info] [0x000150da] [58] 1713544131697163, 0.581535, 0.145218, 0.00905305, -0.0374094, 0.859266, 0.0495833, -0.217969, 3.3464, 0.158209, -0.819018, 0.0576403, -0.0404725, -0.046263
[2024-04-19 12:28:52.289170] [0x0000007f97ffe9a0] [info] [0x000150da] [59] 1713544131697163, 0.591354, 0.153817, 0.00954753, -0.0395893, 0.89237, 0.0511357, -0.226061, 3.39631, 0.157976, -0.828989, 0.0572407, -0.0409291, -0.0467553
[2024-04-19 12:28:52.299379] [0x0000007fab19c010] [info] [0x000150da] [60] 1713544131697163, 0.601473, 0.163021, 0.0100731, -0.0419194, 0.926991, 0.0527322, -0.234499, 3.44621, 0.157533, -0.838774, 0.0568241, -0.0414048, -0.0472639
[2024-04-19 12:28:52.309390] [0x0000007f97ffe9a0] [info] [0x000150da] [61] 1713544131697163, 0.611499, 0.17249, 0.0106097, -0.0443128, 0.961784, 0.0543086, -0.242955, 3.49409, 0.15689, -0.847973, 0.0564066, -0.0418812, -0.047769
[2024-04-19 12:28:52.319827] [0x0000007fa4a749a0] [info] [0x000150da] [62] 1713544131697163, 0.621526, 0.18231, 0.0111621, -0.0467917, 0.997053, 0.0558776, -0.251502, 3.54041, 0.156044, -0.856673, 0.0559842, -0.0423627, -0.0482749
[2024-04-19 12:28:52.329288] [0x0000007fa4a749a0] [info] [0x000150da] [63] 1713544131697163, 0.631439, 0.192368, 0.0117236, -0.049327, 1.03237, 0.0574195, -0.260035, 3.58464, 0.155007, -0.864779, 0.0555619, -0.0428438, -0.0487757
[2024-04-19 12:28:52.339278] [0x0000007fa4a749a0] [info] [0x000150da] [64] 1713544131697163, 0.641427, 0.202859, 0.0123049, -0.0519675, 1.06839, 0.0589617, -0.268711, 3.62761, 0.15376, -0.872443, 0.0551316, -0.0433335, -0.0492806
[2024-04-19 12:28:52.349121] [0x0000007fab19c010] [info] [0x000150da] [65] 1713544131697163, 0.651326, 0.213613, 0.012896, -0.0546704, 1.1045, 0.0604768, -0.277383, 3.6686, 0.152325, -0.879539, 0.0547002, -0.0438238, -0.0497811
[2024-04-19 12:28:52.360098] [0x0000007fab19c010] [info] [0x000150da] [66] 1713544131697163, 0.661469, 0.225006, 0.0135173, -0.0575292, 1.14192, 0.0620135, -0.286338, 3.70896, 0.150648, -0.886289, 0.0542531, -0.0443313, -0.0502937
[2024-04-19 12:28:52.369371] [0x0000007fab19c010] [info] [0x000150da] [67] 1713544131697163, 0.671506, 0.236655, 0.0141472, -0.0604479, 1.17934, 0.0635164, -0.295265, 3.74723, 0.148783, -0.892448, 0.0538056, -0.0448386, -0.0508005
[2024-04-19 12:28:52.380677] [0x0000007fa4a749a0] [info] [0x000150da] [68] 1713544131697163, 0.682038, 0.249284, 0.0148244, -0.0636073, 1.21901, 0.0650721, -0.304696, 3.7856, 0.146608, -0.898353, 0.0533305, -0.0453765, -0.0513313
[2024-04-19 12:28:52.389319] [0x0000007fa4a749a0] [info] [0x000150da] [69] 1713544131697163, 0.691453, 0.260929, 0.0154435, -0.0665159, 1.25481, 0.0664425, -0.313177, 3.81835, 0.144474, -0.903146, 0.052901, -0.045862, -0.0518048
[2024-04-19 12:28:52.399650] [0x0000007f97ffe9a0] [info] [0x000150da] [70] 1713544131697163, 0.701586, 0.273841, 0.0161242, -0.0697358, 1.29367, 0.067894, -0.322353, 3.85194, 0.141979, -0.907792, 0.0524336, -0.0463895, -0.0523129
[2024-04-19 12:28:52.409603] [0x0000007f97ffe9a0] [info] [0x000150da] [71] 1713544131697163, 0.711485, 0.286836, 0.0168032, -0.0729713, 1.33195, 0.0692866, -0.331359, 3.88311, 0.139344, -0.911818, 0.0519719, -0.0469098, -0.0528075
[2024-04-19 12:28:52.419758] [0x0000007f97ffe9a0] [info] [0x000150da] [72] 1713544131697163, 0.721644, 0.300568, 0.0175142, -0.0763847, 1.37156, 0.0706876, -0.340641, 3.9134, 0.136438, -0.915423, 0.0514926, -0.0474488, -0.0533129
[2024-04-19 12:28:52.429173] [0x0000007fa52759a0] [info] [0x000150da] [73] 1713544131697163, 0.731376, 0.314102, 0.0182085, -0.0797432, 1.40978, 0.0720011, -0.349565, 3.94081, 0.133464, -0.918377, 0.0510283, -0.04797, -0.0537945
[2024-04-19 12:28:52.439104] [0x0000007fab19c010] [info] [0x000150da] [74] 1713544131697163, 0.741314, 0.328308, 0.0189306, -0.0832626, 1.44907, 0.0733116, -0.358705, 3.96716, 0.130236, -0.92089, 0.0505489, -0.0485071, -0.0542834
[2024-04-19 12:28:52.450620] [0x0000007fab19c010] [info] [0x000150da] [75] 1713544131697163, 0.751884, 0.343846, 0.0197127, -0.0871056, 1.49115, 0.0746691, -0.36845, 3.99339, 0.126594, -0.923007, 0.0500331, -0.0490836, -0.0547997
[2024-04-19 12:28:52.460406] [0x0000007fab19c010] [info] [0x000150da] [76] 1713544131697163, 0.761553, 0.358451, 0.0204406, -0.0907113, 1.52987, 0.0758763, -0.377382, 4.01575, 0.123075, -0.924445, 0.049556, -0.0496157, -0.0552683
[2024-04-19 12:28:52.469319] [0x0000007fab19c010] [info] [0x000150da] [77] 1713544131697163, 0.771447, 0.373785, 0.0211973, -0.0944903, 1.56971, 0.0770754, -0.386534, 4.03704, 0.119292, -0.925424, 0.0490624, -0.0501649, -0.0557437
[2024-04-19 12:28:52.479742] [0x0000007fa4a749a0] [info] [0x000150da] [78] 1713544131697163, 0.781704, 0.390098, 0.021994, -0.0985037, 1.61122, 0.078278, -0.396029, 4.05741, 0.115176, -0.925918, 0.0485449, -0.0507392, -0.0562316
[2024-04-19 12:28:52.489964] [0x0000007f97ffe9a0] [info] [0x000150da] [79] 1713544131697163, 0.792224, 0.407273, 0.0228238, -0.102721, 1.65401, 0.0794666, -0.40577, 4.07652, 0.110754, -0.925878, 0.048008, -0.0513333, -0.0567263
[2024-04-19 12:28:52.499672] [0x0000007fab19c010] [info] [0x000150da] [80] 1713544131697163, 0.801533, 0.422847, 0.0235683, -0.106539, 1.69203, 0.0804788, -0.414387, 4.09193, 0.106673, -0.925384, 0.0475276, -0.0518634, -0.0571587
[2024-04-19 12:28:52.509298] [0x0000007fab19c010] [info] [0x000150da] [81] 1713544131697163, 0.811433, 0.439799, 0.0243702, -0.110686, 1.73261, 0.0815126, -0.423544, 4.10678, 0.102163, -0.924391, 0.0470114, -0.0524315, -0.0576127
[2024-04-19 12:28:52.519281] [0x0000007fab19c010] [info] [0x000150da] [82] 1713544131697163, 0.821412, 0.457293, 0.0251886, -0.114959, 1.77366, 0.0825087, -0.432761, 4.12016, 0.0974421, -0.922906, 0.0464853, -0.0530087, -0.0580636
[2024-04-19 12:28:52.530047] [0x0000007fab19c010] [info] [0x000150da] [83] 1713544131697163, 0.831801, 0.475942, 0.026051, -0.119505, 1.81653, 0.0834947, -0.442339, 4.13242, 0.0923439, -0.92085, 0.0459315, -0.0536143, -0.0585253
[2024-04-19 12:28:52.539728] [0x0000007fa52759a0] [info] [0x000150da] [84] 1713544131697163, 0.841522, 0.493796, 0.0268669, -0.123848, 1.85675, 0.0843685, -0.451279, 4.14236, 0.0874071, -0.918461, 0.0454075, -0.0541853, -0.0589495
[2024-04-19 12:28:52.549761] [0x0000007fa52759a0] [info] [0x000150da] [85] 1713544131697163, 0.851647, 0.512809, 0.0277255, -0.128464, 1.89874, 0.0852268, -0.460564, 4.15116, 0.0820976, -0.9155, 0.0448558, -0.0547844, -0.0593828
[2024-04-19 12:28:52.559395] [0x0000007fab19c010] [info] [0x000150da] [86] 1713544131697163, 0.861457, 0.531635, 0.0285655, -0.133026, 1.9395, 0.0860063, -0.469529, 4.15818, 0.0767934, -0.912178, 0.0443155, -0.0553689, -0.0597938
[2024-04-19 12:28:52.570504] [0x0000007fab19c010] [info] [0x000150da] [87] 1713544131697163, 0.871707, 0.551733, 0.029451, -0.137887, 1.98215, 0.0867643, -0.478859, 4.16396, 0.0710867, -0.908236, 0.0437449, -0.055984, -0.0602132
[2024-04-19 12:28:52.579288] [0x0000007f97ffe9a0] [info] [0x000150da] [88] 1713544131697163, 0.881454, 0.571251, 0.0302999, -0.142597, 2.02276, 0.0874301, -0.487692, 4.168, 0.0655076, -0.904049, 0.0431963, -0.0565728, -0.0606018
[2024-04-19 12:28:52.589332] [0x0000007fa52759a0] [info] [0x000150da] [89] 1713544131697163, 0.891433, 0.591644, 0.0311756, -0.147509, 2.06437, 0.0880547, -0.49669, 4.1707, 0.0596454, -0.899326, 0.0426288, -0.0571795, -0.0609888
[2024-04-19 12:28:52.599238] [0x0000007fa52759a0] [info] [0x000150da] [90] 1713544131697163, 0.901415, 0.612458, 0.0320574, -0.152512, 2.10601, 0.0886202, -0.505642, 4.17195, 0.0536329, -0.894167, 0.0420549, -0.0577902, -0.0613643
[2024-04-19 12:28:52.610253] [0x0000007fa4a749a0] [info] [0x000150da] [91] 1713544131697163, 0.911743, 0.634432, 0.0329754, -0.157782, 2.14909, 0.0891413, -0.514847, 4.17176, 0.0472599, -0.888382, 0.0414548, -0.0584259, -0.0617397
[2024-04-19 12:28:52.620096] [0x0000007fa4a749a0] [info] [0x000150da] [92] 1713544131697163, 0.921833, 0.656328, 0.0338772, -0.163022, 2.19118, 0.0895862, -0.523781, 4.17013, 0.0408886, -0.882298, 0.0408621, -0.0590506, -0.0620928
[2024-04-19 12:28:52.629787] [0x0000007fa4a749a0] [info] [0x000150da] [93] 1713544131697163, 0.931669, 0.678082, 0.0347602, -0.168216, 2.23218, 0.0899572, -0.532428, 4.1672, 0.0345435, -0.875965, 0.0402783, -0.059663, -0.0624233
[2024-04-19 12:28:52.639433] [0x0000007f97ffe9a0] [info] [0x000150da] [94] 1713544131697163, 0.941374, 0.699942, 0.0356348, -0.173424, 2.27261, 0.0902616, -0.540897, 4.16303, 0.0281571, -0.869334, 0.0396963, -0.0602703, -0.0627355
[2024-04-19 12:28:52.649957] [0x0000007fa4a749a0] [info] [0x000150da] [95] 1713544131697163, 0.951697, 0.723624, 0.0365679, -0.179054, 2.31555, 0.0905166, -0.549833, 4.15724, 0.0212311, -0.861875, 0.0390708, -0.0609196, -0.0630516
[2024-04-19 12:28:52.659337] [0x0000007fa52759a0] [info] [0x000150da] [96] 1713544131697163, 0.961487, 0.746492, 0.037455, -0.184478, 2.35622, 0.0906918, -0.558235, 4.15047, 0.0145406, -0.854424, 0.0384714, -0.0615383, -0.0633353
[2024-04-19 12:28:52.669829] [0x0000007fa52759a0] [info] [0x000150da] [97] 1713544131697163, 0.971622, 0.770586, 0.0383748, -0.19018, 2.39824, 0.0908036, -0.566854, 4.1422, 0.00749349, -0.846331, 0.0378444, -0.0621816, -0.0636117
[2024-04-19 12:28:52.679322] [0x0000007fa52759a0] [info] [0x000150da] [98] 1713544131697163, 0.981448, 0.794351, 0.0392673, -0.19579, 2.4389, 0.0908432, -0.57513, 4.13297, 0.000548237, -0.838127, 0.0372304, -0.0628079, -0.063862
[2024-04-19 12:28:52.689459] [0x0000007f97ffe9a0] [info] [0x000150da] [99] 1713544131697163, 0.991548, 0.819194, 0.0401847, -0.201642, 2.48059, 0.0908122, -0.583551, 4.12227, -0.006702, -0.829337, 0.0365927, -0.0634541, -0.0641004
[2024-04-19 12:28:52.700555] [0x0000007f97ffe9a0] [info] [0x000150da] [100] 1713544131697163, 1.00175, 0.844723, 0.0411109, -0.20764, 2.5226, 0.090706, -0.591967, 4.11026, -0.0141374, -0.820098, 0.0359419, -0.0641094, -0.0643208
[2024-04-19 12:28:52.709344] [0x0000007f97ffe9a0] [info] [0x000150da] [101] 1713544131697163, 1.01145, 0.869388, 0.0419901, -0.213421, 2.56241, 0.0905341, -0.599879, 4.09774, -0.0213033, -0.810992, 0.0353169, -0.0647343, -0.0645105
[2024-04-19 12:28:52.719273] [0x0000007fa52759a0] [info] [0x000150da] [102] 1713544131697163, 1.02143, 0.895144, 0.0428917, -0.219443, 2.60321, 0.0902846, -0.607919, 4.08379, -0.0287642, -0.801312, 0.0346682, -0.0653785, -0.0646844
