[2024-06-13 11:56:33.143795] [0x0000007f887dd010] [LogDataTag] [0x00000af8] [1] Initial timestamp, Current time [s], User-defined position x [m], User-defined position y [m], User-defined position z [m], User-defined velocity x [m/s], User-defined velocity y [m/s], User-defined velocity z [m/s], User-defined acceleration x [m/s^2], User-defined acceleration y [m/s^2], User-defined acceleration z [m/s^2], User-defined yaw [rad], User-defined yaw_dot [rad/s], User-defined yaw_dot_dot [rad/s^2], Odometry time [s], Position x [m], Position y [m], Position z [m], Quaternion q0 [-], Quaternion q1 [-], Quaternion q2 [-], Quaternion q3 [-], Velocity x [m/s], Velocity y [m/s], Velocity z [m/s], Angular velocity x [rad/s], Angular velocity y [rad/s], Angular velocity z [rad/s], Roll [rad], Pitch [rad], Yaw [rad], Algorithm execution time [us], Mu translational raw x [N], Mu translational raw y [N], Mu translational raw z [N], Mu translational x [N], Mu translational y [N], Mu translational z [N], U control input U1 [N], U control input U2 [Nm], U control input U3 [Nm], U control input U4 [Nm], Roll reference [rad], Pitch reference [rad], Roll_dot reference [rad/s], Pitch_dot reference [rad/s], Roll_dot_dot reference [rad/s^2], Pitch_dot_dot reference [rad/s^2], Roll_dot [rad/s], Pitch_dot [rad/s], Yaw_dot [rad/s], Thrust motors QUADCOPTER T1 [N], Thrust motors QUADCOPTER T2 [N], Thrust motors QUADCOPTER T3 [N], Thrust motors QUADCOPTER T4 [N], Thrust motors normalized QUADCOPTER T1 [-], Thrust motors normalized QUADCOPTER T2 [-], Thrust motors normalized QUADCOPTER T3 [-], Thrust motors normalized QUADCOPTER T4 [-], Thrust motors X8COPTER T1 [N], Thrust motors X8COPTER T2 [N], Thrust motors X8COPTER T3 [N], Thrust motors X8COPTER T4 [N], Thrust motors X8COPTER T5 [N], Thrust motors X8COPTER T6 [N], Thrust motors X8COPTER T7 [N], Thrust motors X8COPTER T8 [N], Thrust motors normalized X8COPTER T1 [-], Thrust motors normalized X8COPTER T2 [-], Thrust motors normalized X8COPTER T3 [-], Thrust motors normalized X8COPTER T4 [-], Thrust motors normalized X8COPTER T5 [-], Thrust motors normalized X8COPTER T6 [-], Thrust motors normalized X8COPTER T7 [-], Thrust motors normalized X8COPTER T8 [-], Roll error [rad], Pitch error [rad], Yaw error [rad], Outer loop Proportional term x [-], Outer loop Proportional term y [-], Outer loop Proportional term z [-], Outer loop Integral term x [-], Outer loop Integral term y [-], Outer loop Integral term z [-], Outer loop Derivative term x [-], Outer loop Derivative term y [-], Outer loop Derivative term z [-], Outer loop Dynamic Inversion term x [-], Outer loop Dynamic Inversion term y [-], Outer loop Dynamic Inversion term z [-], Inner loop Proportional term x [-], Inner loop Proportional term y [-], Inner loop Proportional term z [-], Inner loop Integral term x [-], Inner loop Integral term y [-], Inner loop Integral term z [-], Inner loop Derivative term x [-], Inner loop Derivative term y [-], Inner loop Derivative term z [-], Inner loop Dynamic Inversion term x [-], Inner loop Dynamic Inversion term y [-], Inner loop Dynamic Inversion term z [-], 
[2024-06-13 11:56:33.192659] [0x0000007f810809a0] [LogDataTag] [0x00000af8] [4] 1718294193138008, 0.053808, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.8445e+13, 0.0987908, -0.130783, -0.297053, 0.998981, -0.00891576, -0.0171254, -0.0407897, -0.00112694, 0.00149559, 0.00441264, 0.000111394, -0.000921312, 0.000274474, -0.016427, -0.0349504, -0.0813302, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
[2024-06-13 11:56:33.193669] [0x0000007f810809a0] [LogDataTag] [0x00000af8] [5] 1718294193138008, 0.055185, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.8445e+13, 0.0987833, -0.130786, -0.297255, 0.998981, -0.00891992, -0.0171296, -0.0407876, -0.00107717, 0.00151509, 0.00445786, -0.000440417, -0.000242862, 0.000217357, -0.0164351, -0.0349592, -0.0813257, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
[2024-06-13 11:56:33.202714] [0x0000007f818819a0] [LogDataTag] [0x00000af8] [9] 1718294193138008, 0.064182, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.8445e+13, 0.0987833, -0.130786, -0.297255, 0.998981, -0.00891992, -0.0171296, -0.0407876, -0.00107717, 0.00151509, 0.00445786, -0.000440417, -0.000242862, 0.000217357, -0.0164351, -0.0349592, -0.0813257, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
[2024-06-13 11:56:33.212576] [0x0000007f818819a0] [LogDataTag] [0x00000af8] [14] 1718294193138008, 0.074118, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.8445e+13, 0.0987789, -0.130786, -0.297337, 0.998981, -0.00892069, -0.0171336, -0.0407908, -0.00107439, 0.00153528, 0.00446901, -0.000170373, -0.000469139, -0.000968296, -0.0164362, -0.0349671, -0.081332, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
[2024-06-13 11:56:33.222654] [0x0000007f810809a0] [LogDataTag] [0x00000af8] [19] 1718294193138008, 0.084126, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.8445e+13, 0.0987695, -0.130782, -0.297612, 0.998981, -0.00892015, -0.0171308, -0.0407895, -0.00105213, 0.00153495, 0.00443738, -2.96855e-05, 0.000624786, 0.000787394, -0.0164354, -0.0349616, -0.0813295, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
[2024-06-13 11:56:33.232775] [0x0000007f810809a0] [LogDataTag] [0x00000af8] [24] 1718294193138008, 0.094348, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.8445e+13, 0.0987695, -0.130782, -0.297612, 0.998981, -0.00892015, -0.0171308, -0.0407895, -0.00105213, 0.00153495, 0.00443738, -2.96855e-05, 0.000624786, 0.000787394, -0.0164354, -0.0349616, -0.0813295, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
[2024-06-13 11:56:33.242674] [0x0000007f887dd010] [LogDataTag] [0x00000af8] [28] 1718294193138008, 0.104149, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.8445e+13, 0.0987585, -0.130774, -0.297825, 0.998981, -0.00892472, -0.017135, -0.0407878, -0.00106061, 0.00150305, 0.00446938, 4.95913e-05, -2.02696e-05, -0.000185256, -0.0164443, -0.0349703, -0.0813258, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
[2024-06-13 11:56:33.252677] [0x0000007f887dd010] [LogDataTag] [0x00000af8] [32] 1718294193138008, 0.114147, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.8445e+13, 0.0987585, -0.130774, -0.297825, 0.998981, -0.00892472, -0.017135, -0.0407878, -0.00106061, 0.00150305, 0.00446938, 4.95913e-05, -2.02696e-05, -0.000185256, -0.0164443, -0.0349703, -0.0813258, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
[2024-06-13 11:56:33.262612] [0x0000007f818819a0] [LogDataTag] [0x00000af8] [37] 1718294193138008, 0.124131, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.8445e+13, 0.0987457, -0.130764, -0.298019, 0.998981, -0.00892526, -0.0171338, -0.0407863, -0.0011154, 0.00156102, 0.00449823, -0.000150728, -0.000462158, 0.000540119, -0.0164455, -0.0349678, -0.0813229, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
[2024-06-13 11:56:33.272592] [0x0000007f887dd010] [LogDataTag] [0x00000af8] [41] 1718294193138008, 0.134124, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.8445e+13, 0.0987524, -0.130782, -0.298112, 0.998981, -0.00892344, -0.0171315, -0.0407851, -0.00105991, 0.00147017, 0.00455247, 0.00079098, 0.000332129, -0.000187812, -0.0164421, -0.0349631, -0.0813205, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
[2024-06-13 11:56:33.282603] [0x0000007f810809a0] [LogDataTag] [0x00000af8] [46] 1718294193138008, 0.144129, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.8445e+13, 0.0987586, -0.1308, -0.298259, 0.998981, -0.00892682, -0.0171307, -0.0407871, -0.00104004, 0.00144365, 0.00449542, -0.000548902, -0.000397409, -0.00106499, -0.0164488, -0.0349619, -0.0813244, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
[2024-06-13 11:56:33.292703] [0x0000007f820829a0] [LogDataTag] [0x00000af8] [51] 1718294193138008, 0.154185, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.8445e+13, 0.0987639, -0.130815, -0.298389, 0.998981, -0.0089262, -0.017132, -0.0407881, -0.000992887, 0.00135571, 0.00450748, -1.35973e-07, 3.27144e-05, 0.000980207, -0.0164474, -0.0349643, -0.0813264, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
[2024-06-13 11:56:33.302588] [0x0000007f820829a0] [LogDataTag] [0x00000af8] [56] 1718294193138008, 0.164143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.8445e+13, 0.0987639, -0.130815, -0.298389, 0.998981, -0.0089262, -0.017132, -0.0407881, -0.000992887, 0.00135571, 0.00450748, -1.35973e-07, 3.27144e-05, 0.000980207, -0.0164474, -0.0349643, -0.0813264, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
[2024-06-13 11:56:33.312604] [0x0000007f887dd010] [LogDataTag] [0x00000af8] [60] 1718294193138008, 0.174136, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.8445e+13, 0.0987722, -0.130842, -0.298603, 0.998981, -0.00893259, -0.0171308, -0.0407933, -0.000992464, 0.00127558, 0.00454797, -0.000126548, -0.000570628, -0.000298838, -0.0164601, -0.0349626, -0.0813367, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
[2024-06-13 11:56:33.322556] [0x0000007f820829a0] [LogDataTag] [0x00000af8] [65] 1718294193138008, 0.184128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.8445e+13, 0.0987752, -0.130853, -0.298855, 0.998981, -0.0089314, -0.0171327, -0.0407933, -0.000901686, 0.00127779, 0.00442075, 0.000667732, -0.000174325, -0.000790508, -0.0164576, -0.0349662, -0.0813367, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
[2024-06-13 11:56:33.332574] [0x0000007f818819a0] [LogDataTag] [0x00000af8] [69] 1718294193138008, 0.194128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.8445e+13, 0.0987777, -0.130862, -0.299081, 0.998981, -0.0089305, -0.0171356, -0.040794, -0.00094439, 0.00123202, 0.00439433, -0.00041935, -0.000656848, -6.72078e-05, -0.0164555, -0.0349719, -0.081338, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
[2024-06-13 11:56:33.342605] [0x0000007f810809a0] [LogDataTag] [0x00000af8] [74] 1718294193138008, 0.204133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.8445e+13, 0.0987792, -0.13087, -0.299283, 0.998981, -0.00893196, -0.0171381, -0.0407939, -0.000940474, 0.00121019, 0.00439137, 0.000300463, -0.000614669, 6.59485e-05, -0.0164583, -0.0349772, -0.0813379, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
[2024-06-13 11:56:33.352645] [0x0000007f810809a0] [LogDataTag] [0x00000af8] [78] 1718294193138008, 0.214132, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.8445e+13, 0.0987792, -0.13087, -0.299283, 0.998981, -0.00893196, -0.0171381, -0.0407939, -0.000940474, 0.00121019, 0.00439137, 0.000300463, -0.000614669, 6.59485e-05, -0.0164583, -0.0349772, -0.0813379, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
[2024-06-13 11:56:33.362806] [0x0000007f820829a0] [LogDataTag] [0x00000af8] [83] 1718294193138008, 0.224379, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.8445e+13, 0.0987815, -0.130882, -0.299625, 0.998981, -0.0089373, -0.0171403, -0.040791, -0.000831636, 0.00120831, 0.00420801, -0.000213662, 0.00015373, -0.000356791, -0.0164689, -0.0349819, -0.0813318, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
[2024-06-13 11:56:33.372619] [0x0000007f810809a0] [LogDataTag] [0x00000af8] [87] 1718294193138008, 0.234135, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.8445e+13, 0.0987819, -0.130886, -0.299758, 0.998981, -0.00893929, -0.0171411, -0.040794, -0.000831967, 0.00116108, 0.00414736, -0.000517214, -0.000937469, -0.00108428, -0.0164727, -0.0349838, -0.0813378, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
[2024-06-13 11:56:33.382604] [0x0000007f810809a0] [LogDataTag] [0x00000af8] [92] 1718294193138008, 0.244138, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.8445e+13, 0.0987819, -0.130886, -0.299758, 0.998981, -0.00893929, -0.0171411, -0.040794, -0.000831967, 0.00116108, 0.00414736, -0.000517214, -0.000937469, -0.00108428, -0.0164727, -0.0349838, -0.0813378, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
[2024-06-13 11:56:33.392629] [0x0000007f818819a0] [LogDataTag] [0x00000af8] [96] 1718294193138008, 0.254145, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.8445e+13, 0.0987816, -0.130893, -0.299979, 0.998981, -0.00894515, -0.0171437, -0.0407938, -0.000810631, 0.00116158, 0.00420309, -0.00110001, -0.000822581, 2.09833e-05, -0.0164842, -0.0349895, -0.0813372, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
[2024-06-13 11:56:33.402597] [0x0000007f818819a0] [LogDataTag] [0x00000af8] [101] 1718294193138008, 0.264116, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.8445e+13, 0.0987808, -0.130894, -0.300068, 0.99898, -0.00894597, -0.0171434, -0.0407947, -0.000780068, 0.00114447, 0.00421307, -0.000262772, 0.000274301, -0.000399611, -0.0164858, -0.0349888, -0.0813389, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
[2024-06-13 11:56:33.412638] [0x0000007f818819a0] [LogDataTag] [0x00000af8] [105] 1718294193138008, 0.274157, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.8445e+13, 0.0987808, -0.130894, -0.300068, 0.99898, -0.00894597, -0.0171434, -0.0407947, -0.000780068, 0.00114447, 0.00421307, -0.000262772, 0.000274301, -0.000399611, -0.0164858, -0.0349888, -0.0813389, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
[2024-06-13 11:56:33.422627] [0x0000007f810809a0] [LogDataTag] [0x00000af8] [110] 1718294193138008, 0.284131, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.8445e+13, 0.102725, -0.131766, -0.308675, 0.99898, -0.00894837, -0.0171431, -0.0407988, -0.000765599, 0.00116826, 0.00418766, -0.00093705, 0.000516836, -0.000735969, -0.0164905, -0.0349886, -0.081347, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
[2024-06-13 11:56:33.432610] [0x0000007f810809a0] [LogDataTag] [0x00000af8] [114] 1718294193138008, 0.294146, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.8445e+13, 0.102724, -0.131766, -0.308742, 0.99898, -0.00894981, -0.0171461, -0.0408004, -0.000718801, 0.00117725, 0.00417561, -3.07993e-05, -0.000879582, -0.000324086, -0.0164931, -0.0349947, -0.0813501, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
[2024-06-13 11:56:33.442466] [0x0000007f887dd010] [LogDataTag] [0x00000af8] [118] 1718294193138008, 0.303995, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.8445e+13, 0.102724, -0.131765, -0.308855, 0.99898, -0.00894854, -0.017149, -0.0408003, -0.000761695, 0.00115644, 0.00413323, 0.00034011, -0.000815338, -0.000386354, -0.0164903, -0.0350005, -0.0813499, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
[2024-06-13 11:56:33.452584] [0x0000007f887dd010] [LogDataTag] [0x00000af8] [123] 1718294193138008, 0.314122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.8445e+13, 0.102724, -0.131765, -0.308855, 0.99898, -0.00894854, -0.017149, -0.0408003, -0.000761695, 0.00115644, 0.00413323, 0.00034011, -0.000815338, -0.000386354, -0.0164903, -0.0350005, -0.0813499, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
